style_code,Core_New
211761,discontinued
211762,discontinued
211763,discontinued
211764,discontinued
211765,discontinued
211766,discontinued
211767,discontinued
211768,discontinued
211769,discontinued
211770,discontinued
211771,discontinued
211772,discontinued
211773,discontinued
211774,discontinued
211775,discontinued
211776,discontinued
211777,discontinued
211778,discontinued
211779,discontinued
211780,discontinued
211781,discontinued
211782,discontinued
211783,discontinued
211784,discontinued
211785,discontinued
211786,discontinued
211787,discontinued
211788,discontinued
211789,discontinued
211790,discontinued
211791,discontinued
211792,discontinued
211793,discontinued
211794,discontinued
211795,discontinued
211796,discontinued
211797,discontinued
211798,discontinued
211799,discontinued
211800,discontinued
211801,discontinued
216901,discontinued
216902,discontinued
148702,continuity
148704,continuity
204143,discontinued
140881,discontinued
140906,discontinued
140876,discontinued
140877,discontinued
140878,discontinued
140879,discontinued
140880,discontinued
140882,discontinued
140883,discontinued
140884,discontinued
140885,discontinued
140886,discontinued
140836,discontinued
140887,discontinued
140837,discontinued
140888,discontinued
140889,discontinued
140890,discontinued
140891,discontinued
140892,discontinued
140893,discontinued
140894,discontinued
140838,discontinued
140895,discontinued
140896,discontinued
140839,discontinued
140897,discontinued
140898,discontinued
140899,discontinued
140900,discontinued
140901,discontinued
140902,discontinued
140903,discontinued
140840,discontinued
140904,discontinued
140841,discontinued
140905,discontinued
140907,discontinued
140842,discontinued
140908,discontinued
140909,discontinued
140843,discontinued
140910,discontinued
140844,discontinued
140911,discontinued
140912,discontinued
140913,discontinued
140914,discontinued
140845,discontinued
140915,discontinued
140846,discontinued
140847,discontinued
140848,discontinued
140849,discontinued
140850,discontinued
140851,discontinued
140852,discontinued
140853,discontinued
140854,discontinued
140855,discontinued
140856,discontinued
140857,discontinued
140858,discontinued
140859,discontinued
140860,discontinued
140861,discontinued
140862,discontinued
140863,discontinued
140864,discontinued
140865,discontinued
140866,discontinued
140867,discontinued
140868,discontinued
140869,discontinued
140870,discontinued
140835,discontinued
136951,discontinued
136952,discontinued
136953,discontinued
136954,discontinued
136955,discontinued
136956,discontinued
136957,discontinued
136958,discontinued
136959,discontinued
136960,discontinued
136961,discontinued
136962,discontinued
136963,discontinued
136964,discontinued
136965,discontinued
136966,discontinued
136967,discontinued
136968,discontinued
136969,discontinued
136970,discontinued
136971,discontinued
140871,discontinued
140872,discontinued
140873,discontinued
140874,discontinued
140875,discontinued
140829,discontinued
140830,discontinued
140831,discontinued
140832,discontinued
140833,discontinued
140834,discontinued
206691,discontinued
206692,discontinued
206823,discontinued
206824,discontinued
216903,discontinued
216904,continuity
216905,discontinued
216906,discontinued
216907,discontinued
216908,continuity
216909,discontinued
216910,discontinued
216911,discontinued
216912,discontinued
216913,discontinued
216914,discontinued
216915,discontinued
216916,discontinued
216917,discontinued
216918,discontinued
216919,discontinued
216920,discontinued
216921,discontinued
216922,discontinued
216923,discontinued
216924,discontinued
216925,discontinued
216926,discontinued
216927,discontinued
216928,discontinued
206825,discontinued
206826,discontinued
206827,discontinued
206828,discontinued
206971,continuity
206972,discontinued
206973,discontinued
148342,discontinued
216929,discontinued
216930,discontinued
216931,discontinued
216932,continuity
216933,discontinued
216934,discontinued
216935,discontinued
216936,discontinued
216937,discontinued
216938,discontinued
216939,discontinued
216940,discontinued
219488,discontinued
221832,new launches
221833,new launches
221834,new launches
221851,new launches
221852,new launches
223051,discontinued
223052,discontinued
223053,discontinued
223054,discontinued
